text,intent
đổi vé sang chuyến bay khác được không,thay_đổi_thông_tin_vé
cách làm bánh flan,tìm_kiếm_thông_tin
mua laptop dell inspiron,mua_hàng
giờ mở cửa ngân hàng vietcombank,hỏi_đáp
đặt bàn ăn nhà hàng hải sản,đặt vé
hướng dẫn sử dụng máy giặt,tìm_kiếm_thông_tin
mua tai nghe airpod pro,mua_hàng
Dự định mua hàng mà giờ thời tiết xấu quá sao đi được,thời_tiết
Thời tiết như thế này không nên ra ngoài mua hàng hóa,mua_hàng
tìm chuyến bay từ đà nẵng đi hà nội,tìm_chuyến_bay
mua vé máy bay từ sài gòn ra hà nội,mua_vé
cho tôi xem lịch bay từ huế vào đà nẵng,tra_cứu_thông_tin
đặt vé khứ hồi từ hà nội đi hồ chí minh,đặt_vé
các chuyến bay từ đà nẵng đến sài gòn,tìm_chuyến_bay
mua vé một chiều từ hà nội đi huế,mua_vé
tra cứu chuyến bay từ sài gòn ra đà nẵng,tra_cứu_thông_tin
tìm chuyến bay từ huế vào hà nội,tìm_chuyến_bay
đặt vé máy bay đi đà nẵng cuối tuần,đặt_vé
thông tin chuyến bay từ hà nội đi hồ chí minh,tra_cứu_thông_tin
tìm chuyến bay từ đà nẵng đến huế,tìm_chuyến_bay
mua vé máy bay từ huế vào sài gòn,mua_vé
cho tôi lịch bay từ hà nội đi đà nẵng,tra_cứu_thông_tin
đặt vé khứ hồi từ sài gòn ra hà nội,đặt_vé
các chuyến bay từ hồ chí minh đi đà nẵng,tìm_chuyến_bay
mua vé một chiều từ đà nẵng đi huế,mua_vé
tra cứu chuyến bay từ hà nội vào huế,tra_cứu_thông_tin
tìm chuyến bay từ sài gòn đến đà nẵng,tìm_chuyến_bay
đặt vé máy bay đi huế cuối tháng,đặt_vé
thông tin chuyến bay từ đà nẵng đi hà nội,tra_cứu_thông_tin
tìm chuyến bay từ huế đến sài gòn,tìm_chuyến_bay
mua vé máy bay từ hà nội đi đà nẵng,mua_vé
cho tôi xem lịch bay từ sài gòn ra huế,tra_cứu_thông_tin
đặt vé khứ hồi từ đà nẵng đi hà nội,đặt_vé
các chuyến bay từ hà nội đến huế,tìm_chuyến_bay
mua vé một chiều từ sài gòn đi đà nẵng,mua_vé
tra cứu chuyến bay từ huế vào hà nội,tra_cứu_thông_tin
tìm chuyến bay từ đà nẵng đến hà nội,tìm_chuyến_bay
đặt vé máy bay đi sài gòn tuần sau,đặt_vé
thông tin chuyến bay từ huế đi đà nẵng,tra_cứu_thông_tin
tìm chuyến bay từ hà nội đi sài gòn,tìm_chuyến_bay
mua vé máy bay từ đà nẵng đến huế,mua_vé
cho tôi lịch bay từ sài gòn đi hà nội,tra_cứu_thông_tin
đặt vé khứ hồi từ huế vào đà nẵng,đặt_vé
các chuyến bay từ đà nẵng đi sài gòn,tìm_chuyến_bay
mua vé một chiều từ hà nội đến huế,mua_vé
tra cứu chuyến bay từ sài gòn đi đà nẵng,tra_cứu_thông_tin
tìm chuyến bay từ huế đến hà nội,tìm_chuyến_bay
đặt vé máy bay đi đà nẵng tháng sau,đặt_vé
thông tin chuyến bay từ sài gòn ra hà nội,tra_cứu_thông_tin
tìm chuyến bay từ sài gòn đi huế,tìm_chuyến_bay
mua vé máy bay từ hà nội đến sài gòn,mua_vé
cho tôi xem lịch bay từ đà nẵng đi huế,tra_cứu_thông_tin
đặt vé khứ hồi từ hà nội đi đà nẵng,đặt_vé
các chuyến bay từ huế đến sài gòn,tìm_chuyến_bay
mua vé một chiều từ đà nẵng ra hà nội,mua_vé
tra cứu chuyến bay từ hà nội đi đà nẵng,tra_cứu_thông_tin
tìm chuyến bay từ sài gòn đến hà nội,tìm_chuyến_bay
đặt vé máy bay đi huế tuần tới,đặt_vé
thông tin chuyến bay từ đà nẵng đến huế,tra_cứu_thông_tin
tìm chuyến bay từ hà nội đi đà nẵng,tìm_chuyến_bay
mua vé máy bay từ huế đi hà nội,mua_vé
cho tôi lịch bay từ đà nẵng đến sài gòn,tra_cứu_thông_tin
đặt vé khứ hồi từ sài gòn đi huế,đặt_vé
các chuyến bay từ hà nội đến sài gòn,tìm_chuyến_bay
mua vé một chiều từ huế vào đà nẵng,mua_vé
tra cứu chuyến bay từ sài gòn đến hà nội,tra_cứu_thông_tin
tìm chuyến bay từ đà nẵng đi huế,tìm_chuyến_bay
đặt vé máy bay đi sài gòn cuối năm,đặt_vé
thông tin chuyến bay từ huế đến hà nội,tra_cứu_thông_tin
tìm chuyến bay từ huế đi sài gòn,tìm_chuyến_bay
mua vé máy bay từ sài gòn đến đà nẵng,mua_vé
cho tôi xem lịch bay từ hà nội đi huế,tra_cứu_thông_tin
đặt vé khứ hồi từ đà nẵng đi sài gòn,đặt_vé
các chuyến bay từ sài gòn đến đà nẵng,tìm_chuyến_bay
mua vé một chiều từ hà nội đi sài gòn,mua_vé
tra cứu chuyến bay từ đà nẵng ra hà nội,tra_cứu_thông_tin
tìm chuyến bay từ hà nội đến huế,tìm_chuyến_bay
đặt vé máy bay đi đà nẵng dịp tết,đặt_vé
thông tin chuyến bay từ sài gòn đi huế,tra_cứu_thông_tin
tìm chuyến bay từ sài gòn ra hà nội,tìm_chuyến_bay
mua vé máy bay từ đà nẵng đi hà nội,mua_vé
cho tôi lịch bay từ huế đến sài gòn,tra_cứu_thông_tin
đặt vé khứ hồi từ hà nội đi sài gòn,đặt_vé
các chuyến bay từ huế đi đà nẵng,tìm_chuyến_bay
mua vé một chiều từ sài gòn ra hà nội,mua_vé
tra cứu chuyến bay từ huế đến đà nẵng,tra_cứu_thông_tin
tìm chuyến bay từ đà nẵng đến sài gòn,tìm_chuyến_bay
đặt vé máy bay đi hà nội tháng sau,đặt_vé
thông tin chuyến bay từ hà nội đến đà nẵng,tra_cứu_thông_tin
tìm chuyến bay từ sài gòn đi đà nẵng,tìm_chuyến_bay
mua vé máy bay từ huế đến hà nội,mua_vé
cho tôi xem lịch bay từ sài gòn đến huế,tra_cứu_thông_tin
đặt vé khứ hồi từ huế đi hà nội,đặt_vé
các chuyến bay từ đà nẵng đến hà nội,tìm_chuyến_bay
mua vé một chiều từ đà nẵng đi sài gòn,mua_vé
tra cứu chuyến bay từ hà nội đến sài gòn,tra_cứu_thông_tin
tìm chuyến bay từ huế đến đà nẵng,tìm_chuyến_bay
đặt vé máy bay đi sài gòn dịp lễ,đặt_vé
thông tin chuyến bay từ đà nẵng đến sài gòn,tra_cứu_thông_tin
tìm chuyến bay từ hà nội đi huế,tìm_chuyến_bay
mua vé máy bay từ sài gòn đi huế,mua_vé
cho tôi lịch bay từ đà nẵng đến hà nội,tra_cứu_thông_tin
đặt vé khứ hồi từ sài gòn đi đà nẵng,đặt_vé
các chuyến bay từ sài gòn đến huế,tìm_chuyến_bay
mua vé một chiều từ huế đi sài gòn,mua_vé
tra cứu chuyến bay từ đà nẵng đi huế,tra_cứu_thông_tin
tìm chuyến bay từ sài gòn đến hà nội,tìm_chuyến_bay
đặt vé máy bay đi huế dịp hè,đặt_vé
thông tin chuyến bay từ huế đi sài gòn,tra_cứu_thông_tin
tìm chuyến bay từ đà nẵng đi sài gòn,tìm_chuyến_bay
mua vé máy bay từ hà nội đến huế,mua_vé
cho tôi xem lịch bay từ huế đến đà nẵng,tra_cứu_thông_tin
đặt vé khứ hồi từ đà nẵng đi huế,đặt_vé
các chuyến bay từ hà nội đi đà nẵng,tìm_chuyến_bay
mua vé một chiều từ sài gòn đến huế,mua_vé
tra cứu chuyến bay từ sài gòn ra đà nẵng,tra_cứu_thông_tin
tìm chuyến bay từ huế đi hà nội,tìm_chuyến_bay
đặt vé máy bay đi đà nẵng đầu năm,đặt_vé
tìm áo thun nam,tìm_sản_phẩm
tìm cho tôi một chiếc điện thoại mới,tìm_sản_phẩm
kiếm giày thể thao nam size 42,tìm_sản_phẩm
có bán sách của Nguyễn Nhật Ánh không,tìm_sản_phẩm
xem các mẫu váy công sở,tìm_sản_phẩm
tôi muốn xem các loại tai nghe bluetooth,tìm_sản_phẩm
shop có bán bàn phím cơ không dây không,tìm_sản_phẩm
tìm các loại kem chống nắng cho da dầu,tìm_sản_phẩm
hiển thị các mẫu đồng hồ thông minh mới nhất,tìm_sản_phẩm
cho xem các loại máy hút bụi cầm tay,tìm_sản_phẩm
tìm balô đi học cho sinh viên,tìm_sản_phẩm
có những loại nồi chiên không dầu nào,tìm_sản_phẩm
kiếm giúp tôi một chiếc áo khoác dù,tìm_sản_phẩm
xem các sản phẩm tivi 55 inch,tìm_sản_phẩm
tìm nước hoa nam mùi gỗ,tìm_sản_phẩm
tôi đang cần tìm một bộ dụng cụ sửa chữa,tìm_sản_phẩm
so sánh giá điện thoại iPhone và Samsung,so_sánh_giá
thêm áo khoác vào giỏ hàng,thêm_vào_giỏ_hàng
thêm sản phẩm này vào giỏ hàng,thêm_vào_giỏ_hàng
bỏ chiếc mũ này vào giỏ,thêm_vào_giỏ_hàng
cho cuốn sách này vào giỏ hàng nhé,thêm_vào_giỏ_hàng
tôi muốn thêm cái này vào giỏ,thêm_vào_giỏ_hàng
thêm vào giỏ hàng,thêm_vào_giỏ_hàng
cho cái áo khoác này vào giỏ hàng của tôi,thêm_vào_giỏ_hàng
bỏ vào giỏ hàng giúp tôi,thêm_vào_giỏ_hàng
thêm cái laptop này vào giỏ,thêm_vào_giỏ_hàng
cộng sản phẩm này vào đơn hàng,thêm_vào_giỏ_hàng
cho vào giỏ hàng,thêm_vào_giỏ_hàng
mua giày thể thao,mua_hàng
kiểm tra đơn hàng số 12345,kiểm_tra_đơn_hàng
hủy đơn hàng vừa đặt,hủy_đơn_hàng
tìm tai nghe không dây,tìm_sản_phẩm
so sánh giá laptop Dell và HP,so_sánh_giá
thêm túi xách vào giỏ hàng,thêm_vào_giỏ_hàng
mua balo du lịch,mua_hàng
kiểm tra tình trạng đơn hàng 67890,kiểm_tra_đơn_hàng
đơn hàng của tôi đang ở đâu,kiểm_tra_đơn_hàng
xem tình trạng đơn hàng gần đây nhất,kiểm_tra_đơn_hàng
khi nào thì tôi nhận được hàng,kiểm_tra_đơn_hàng
đơn hàng đã được giao cho đơn vị vận chuyển chưa?,kiểm_tra_đơn_hàng
kiểm tra giúp tôi đơn hàng vừa đặt,kiểm_tra_đơn_hàng
tình trạng đơn hàng của tôi thế nào rồi,kiểm_tra_đơn_hàng
đơn hàng đã được xác nhận chưa shop,kiểm_tra_đơn_hàng
bao lâu nữa thì hàng tới nơi,kiểm_tra_đơn_hàng
xem lại lịch sử đơn hàng,kiểm_tra_đơn_hàng
cho tôi biết lộ trình của đơn hàng,kiểm_tra_đơn_hàng
đơn hàng tôi đặt tuần trước đã đi đâu rồi,kiểm_tra_đơn_hàng
kiểm tra đơn hàng có mã vận đơn ABC123456,kiểm_tra_đơn_hàng
gói hàng của tôi đã được đóng gói chưa,kiểm_tra_đơn_hàng
tôi đã nhận được hàng chưa nhỉ,kiểm_tra_đơn_hàng
xem đơn hàng mới nhất,kiểm_tra_đơn_hàng
hủy đơn hàng số 54321,hủy_đơn_hàng
tìm nồi cơm điện,tìm_sản_phẩm
so sánh giá TV LG và Sony,so_sánh_giá
thêm máy xay sinh tố vào giỏ hàng,thêm_vào_giỏ_hàng
mua bàn phím cơ,mua_hàng
kiểm tra đơn hàng gần nhất,kiểm_tra_đơn_hàng
hủy đơn hàng đã đặt sáng nay,hủy_đơn_hàng
tìm váy đầm dự tiệc,tìm_sản_phẩm
so sánh giá máy ảnh Canon và Nikon,so_sánh_giá
thêm đồng hồ đeo tay vào giỏ hàng,thêm_vào_giỏ_hàng
mua loa bluetooth,mua_hàng
kiểm tra đơn hàng đã thanh toán,kiểm_tra_đơn_hàng
hủy đơn hàng chưa giao,hủy_đơn_hàng
tìm bình giữ nhiệt,tìm_sản_phẩm
so sánh giá máy tính bảng iPad và Samsung,so_sánh_giá
thêm chăn ga gối vào giỏ hàng,thêm_vào_giỏ_hàng
mua máy lọc không khí,mua_hàng
kiểm tra đơn hàng đã nhận được chưa,kiểm_tra_đơn_hàng
hủy đơn hàng vì đổi ý,hủy_đơn_hàng
tìm giày cao gót,tìm_sản_phẩm
so sánh giá tủ lạnh Panasonic và Toshiba,so_sánh_giá
thêm bàn làm việc vào giỏ hàng,thêm_vào_giỏ_hàng
mua ghế gaming,mua_hàng
kiểm tra đơn hàng đang vận chuyển,kiểm_tra_đơn_hàng
hủy đơn hàng do trùng sản phẩm,hủy_đơn_hàng
tôi muốn hủy đơn hàng vừa đặt,hủy_đơn_hàng
hủy đơn hàng này giúp tôi,hủy_đơn_hàng
làm ơn hủy đơn hàng do tôi đặt nhầm sản phẩm,hủy_đơn_hàng
tôi không muốn mua nữa hủy đơn đi,hủy_đơn_hàng
xóa đơn hàng mới nhất khỏi hệ thống,hủy_đơn_hàng
hủy đơn hàng do tôi tìm được chỗ khác rẻ hơn,hủy_đơn_hàng
tôi muốn thay đổi ý định hủy đơn nhé,hủy_đơn_hàng
hủy đơn hàng do thời gian giao dự kiến quá lâu,hủy_đơn_hàng
vui lòng không xử lý đơn hàng này nữa,hủy_đơn_hàng
tôi muốn hủy đơn hàng cái tivi,hủy_đơn_hàng
tìm máy sấy tóc,tìm_sản_phẩm
so sánh giá điều hòa Daikin và LG,so_sánh_giá
so sánh giá giữa điện thoại Samsung và iPhone,so_sánh_giá
giá của tivi Sony và tivi LG khác nhau thế nào,so_sánh_giá
nên mua máy ảnh Canon hay Nikon với tầm giá 15 triệu,so_sánh_giá
so sánh laptop Dell và HP trong cùng phân khúc,so_sánh_giá
giữa hai sản phẩm này cái nào rẻ hơn,so_sánh_giá
so sánh giá máy giặt Electrolux và LG,so_sánh_giá
cho tôi so sánh giá của 3 loại tai nghe này,so_sánh_giá
giá của Adidas Stan Smith và Nike Air Force 1,so_sánh_giá
so sánh tủ lạnh Panasonic và Toshiba,so_sánh_giá
nên chọn mua xe máy Honda hay Yamaha,so_sánh_giá
thêm vali du lịch vào giỏ hàng,thêm_vào_giỏ_hàng
mua ổ cứng di động,mua_hàng
kiểm tra đơn hàng đã giao thành công chưa,kiểm_tra_đơn_hàng
hủy đơn hàng do không còn nhu cầu,hủy_đơn_hàng
tìm quần jeans nam,tìm_sản_phẩm
so sánh giá máy giặt Electrolux và Sharp,so_sánh_giá
thêm nước hoa vào giỏ hàng,thêm_vào_giỏ_hàng
mua tai nghe nhét tai,mua_hàng
kiểm tra đơn hàng đã xác nhận chưa,kiểm_tra_đơn_hàng
hủy đơn hàng vì chọn sai sản phẩm,hủy_đơn_hàng
tìm áo len nữ,tìm_sản_phẩm
so sánh giá lò vi sóng Sunhouse và Kangaroo,so_sánh_giá
thêm bình nước vào giỏ hàng,thêm_vào_giỏ_hàng
mua thẻ nhớ,mua_hàng
kiểm tra đơn hàng đang xử lý,kiểm_tra_đơn_hàng
hủy đơn hàng do giao hàng chậm,hủy_đơn_hàng
tìm mũ bảo hiểm,tìm_sản_phẩm
so sánh giá robot hút bụi Xiaomi và Roborock,so_sánh_giá
thêm gối ôm vào giỏ hàng,thêm_vào_giỏ_hàng
mua bàn ủi hơi nước,mua_hàng
kiểm tra đơn hàng đã thanh toán online,kiểm_tra_đơn_hàng
hủy đơn hàng do đặt nhầm,hủy_đơn_hàng
tìm áo khoác dù,tìm_sản_phẩm
so sánh giá máy ép chậm Hurom và Panasonic,so_sánh_giá
thêm ví da vào giỏ hàng,thêm_vào_giỏ_hàng
mua quạt điều hòa,mua_hàng
kiểm tra đơn hàng đã giao đến đâu,kiểm_tra_đơn_hàng
hủy đơn hàng vì không ưng ý,hủy_đơn_hàng
tìm bộ đồ bơi,tìm_sản_phẩm
so sánh giá bàn phím Logitech và Razer,so_sánh_giá
thêm kem dưỡng da vào giỏ hàng,thêm_vào_giỏ_hàng
mua máy đọc sách,mua_hàng
kiểm tra đơn hàng đã hoàn thành,kiểm_tra_đơn_hàng
hủy đơn hàng do thay đổi địa chỉ,hủy_đơn_hàng
tìm túi đeo chéo,tìm_sản_phẩm
so sánh giá chuột máy tính Dell và HP,so_sánh_giá
thêm sữa rửa mặt vào giỏ hàng,thêm_vào_giỏ_hàng
mua máy massage,mua_hàng
kiểm tra đơn hàng đã được gửi đi chưa,kiểm_tra_đơn_hàng
hủy đơn hàng do giá cao,hủy_đơn_hàng
tìm áo sơ mi công sở,tìm_sản_phẩm
so sánh giá máy in Epson và Canon,so_sánh_giá
thêm son môi vào giỏ hàng,thêm_vào_giỏ_hàng
mua bình đun siêu tốc,mua_hàng
kiểm tra đơn hàng đã nhận hàng,kiểm_tra_đơn_hàng
hủy đơn hàng do không liên lạc được,hủy_đơn_hàng
tìm quần jogger,tìm_sản_phẩm
so sánh giá loa JBL và Sony,so_sánh_giá
thêm khăn mặt vào giỏ hàng,thêm_vào_giỏ_hàng
mua máy cạo râu,mua_hàng
kiểm tra đơn hàng đã xử lý xong chưa,kiểm_tra_đơn_hàng
hủy đơn hàng do sản phẩm hết hàng,hủy_đơn_hàng
tìm áo hoodie,tìm_sản_phẩm
so sánh giá tai nghe AirPods và Galaxy Buds,so_sánh_giá
thêm bộ đồ ngủ vào giỏ hàng,thêm_vào_giỏ_hàng
mua máy sưởi,mua_hàng
kiểm tra đơn hàng đã được giao thành công,kiểm_tra_đơn_hàng
hủy đơn hàng do không cần nữa,hủy_đơn_hàng
tìm giày lười,tìm_sản_phẩm
so sánh giá máy chiếu Optoma và BenQ,so_sánh_giá
thêm bộ ấm trà vào giỏ hàng,thêm_vào_giỏ_hàng
mua máy hút bụi,mua_hàng
kiểm tra đơn hàng đang chờ xác nhận,kiểm_tra_đơn_hàng
hủy đơn hàng do đặt trùng,hủy_đơn_hàng
tìm kính mát,tìm_sản_phẩm
so sánh giá máy lọc nước Karofi và Kangaroo,so_sánh_giá
thêm bộ dụng cụ làm bếp vào giỏ hàng,thêm_vào_giỏ_hàng
mua máy xay thịt,mua_hàng
kiểm tra đơn hàng đã chuyển khoản,kiểm_tra_đơn_hàng
hủy đơn hàng do không giao đúng hẹn,hủy_đơn_hàng
tìm áo phông nữ,tìm_sản_phẩm
so sánh giá bàn là Philips và Panasonic,so_sánh_giá
cho tôi biết thông tin chi tiết về sản phẩm này,tra_cứu_thông_tin_sản_phẩm
máy giặt này có chức năng sấy không?,tra_cứu_thông_tin_sản_phẩm
điện thoại này có mấy màu?,tra_cứu_thông_tin_sản_phẩm
chính sách bảo hành của sản phẩm này như thế nào?,tra_cứu_thông_tin_sản_phẩm
cho xem cấu hình của laptop này,tra_cứu_thông_tin_sản_phẩm
sản phẩm này được sản xuất ở đâu?,tra_cứu_thông_tin_sản_phẩm
chất liệu của cái áo này là gì?,tra_cứu_thông_tin_sản_phẩm
pin của con điện thoại này dùng được bao lâu?,tra_cứu_thông_tin_sản_phẩm
cái này có chống nước không?,tra_cứu_thông_tin_sản_phẩm
cho tôi xem đánh giá của người dùng về sản phẩm,tra_cứu_thông_tin_sản_phẩm
thêm bộ vệ sinh laptop vào giỏ hàng,thêm_vào_giỏ_hàng
tư vấn cho tôi một chiếc laptop cho việc học,yêu_cầu_tư_vấn
tôi nên mua loại điện thoại nào trong tầm giá 10 triệu,yêu_cầu_tư_vấn
gợi ý cho tôi một món quà sinh nhật cho bạn gái,yêu_cầu_tư_vấn
da tôi là da nhạy cảm nên dùng loại sữa rửa mặt nào,yêu_cầu_tư_vấn
giúp tôi chọn một cuốn sách hay,yêu_cầu_tư_vấn
tôi phân vân không biết nên chọn cái nào,yêu_cầu_tư_vấn
nhờ bạn tư vấn giúp,yêu_cầu_tư_vấn
bạn có thể gợi ý vài sản phẩm tốt không,yêu_cầu_tư_vấn
tôi cần sự trợ giúp để chọn sản phẩm,yêu_cầu_tư_vấn
loại nào thì phù hợp với nhu cầu của tôi,yêu_cầu_tư_vấn
mua máy làm sữa đậu nành,mua_hàng
kiểm tra đơn hàng đã giao đến kho chưa,kiểm_tra_đơn_hàng
hủy đơn hàng do sản phẩm lỗi,hủy_đơn_hàng
tìm balo laptop,tìm_sản_phẩm
so sánh giá cân sức khỏe Xiaomi và Beurer,so_sánh_giá
thêm bộ đồ chơi trẻ em vào giỏ hàng,thêm_vào_giỏ_hàng
mua máy đo huyết áp,mua_hàng
kiểm tra đơn hàng đã xử lý thanh toán,kiểm_tra_đơn_hàng
